PO_NUMBER,AGENCY_NAME,NIGP_DESCRIPTION,PO_TOTAL_AMOUNT,ORDER_DATE,SUPPLIER,SUPPLIER_FULL_ADDRESS,SUPPLIER_CITY,SUPPLIER_STATE
PO246222,DEPARTMENT OF HEALTH,PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58,$28099.00,01/02/2008,GPS NORTH AMERICA,40 STEEPLECHASE DRIVE  ; HOLLAN  ; PA  ; 18966,HOLLAN  ,PA
PO246257,DEPARTMENT OF MENTAL HEALTH,PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58,$34000.00,01/02/2008,CRITICAL LINK ASSOC. INC.,9910 WINTRY DAY PL.                                SUITE  112  ; LAUREL  ; MD  ; 20725,LAUREL  ,MD
PO246220,DEPARTMENT OF HEALTH,"OFFICE SUPPLIES, GENERAL 00",$14973.40,01/02/2008,MVS INC,"3630A GEORGIA AVENUE, NW   ; WASHINGTON  ; DC  ; 20010-",WASHINGTON  ,DC
PO246267,DEPT. OF HOUSING AND COMM. DEVELOPMENT,LOAN ADMINISTRATION 60,$451224.00,01/02/2008,UNIVERSITY LEGAL SERVICES,220 I ST NE                                        SUITE 120  ; WASHINGTON  ; DC  ; 20002,WASHINGTON  ,DC
PO246255,DEPARTMENT OF TRANSPORTATION,TRANSPORTATION CONSULTING 96,$548603.00,01/02/2008,MARTINS CONSTRUCTION CORP,"210 LITTLE FALLS STREET,                           SUITE#300  ; FALLS CHURCH  ; VA  ; 22046",FALLS CHURCH  ,VA
PO246261,OFFICE OF ZONING,PRINTING AND RELATED SERVICES 00,$4700.00,01/02/2008,"REDMOND II ENTERPRISES, LLC","1400 ROXANNA ROAD, NW  ; WASHINGTON  ; DC  ; 20012",WASHINGTON  ,DC
PO246273,OFFICE OF CHIEF FINANCIAL OFFICER,"PROFESSIONAL: COMPUTER TRAINING, HOSPITAL/PHARMACY, LEGAL, ETC. 66",$3725.00,01/02/2008,H & R BLOCK,4400 MAIN STREET  ; KANSAS CITY  ; MO  ; 64111,KANSAS CITY  ,MO
PO246229,DEPARTMENT OF HEALTH,"OFFICE SUPPLIES, GENERAL 00",$3846.80,01/02/2008,LASER ART INC,2414 DOUGLAS STREET NE                             SUITE 200  ; WASHINGTON  ; DC  ; 20018,WASHINGTON  ,DC
PO246250,METROPOLITAN POLICE DEPARTMENT,"DIAGNOSTIC REAGENTS AND TESTS (FOR DISEASES, PREGNANCY, ETC.): CARDS, SLIDES, SPOT TESTS, STRIPS, TABLETS, ETC. 40",$3878.10,01/02/2008,MAGNIFICUS CORPORATION,"37 L STREET, SE  ; WASHINGTON  ; DC  ; 20003",WASHINGTON  ,DC
PO246268,"DEPART OF INSURANCE,SECURITIES & BANKING","APPLICATIONS SOFTWARE FOR MICROCOMPUTER SYSTEMS: BUSINESS, MATHEMATICAL/STATISTICAL, MEDICAL, SCIENTIFIC, ETC. 07",$20000.00,01/02/2008,NATIONAL ASSOCIATION OF INSURA,2301 MCGEE STREET                                  SUITE 800  ; KANSAS CITY  ; MO  ; 64108-2604,KANSAS CITY  ,MO
PO246240,DC PUBLIC LIBRARY,"MICROCOMPUTERS, DESKTOP OR TOWERBASED 53",$98550.00,01/02/2008,DOCUMENT SYSTEMS INC,"333 HAWAII AVENUE, NE                              SUITE 200  ; WASHINGTON  ; DC  ; 20011",WASHINGTON  ,DC
PO246260,DEPT. OF CONSUMER AND REGULATORY AFFAIRS,PROJECT MANAGEMENT SERVICES 77,$31200.00,01/02/2008,"NEXTGEN CONSULTING, INC","1420 NORTH CAPITOL STREET, N.W   ; WASHINGTON  ; DC  ; 20002-",WASHINGTON  ,DC
PO245546,DEPARTMENT OF PUBLIC WORKS,"GARBAGE/TRASH REMOVAL, DISPOSAL AND/OR TREATMENT 27",$950000.00,01/02/2008,DIRECTOR OF FINANCE COUNTY OF,12000 GOVERNMENT CTR. PKWY  ; FAIRFAX  ; VA  ; 22035,FAIRFAX  ,VA
PO246244,OFFICE OF CHIEF FINANCIAL OFFICER,NEWSPAPER AND PUBLICATION ADVERTISING 71,$4970.00,01/02/2008,BALMAR INCORPORATED,16780 OAKMONT AVE  ; GAITHERSBURG  ; MD  ; 20877-4112,GAITHERSBURG  ,MD
PO246249,DEPARTMENT OF HEALTH,MEMBERSHIP DUES 48,$4400.00,01/02/2008,ASSOCIATION OF MATERNAL,1220 19TH STREET  NW  STE 801  ; WASHINGTON  ; DC  ; 20036,WASHINGTON  ,DC
PO246276,OFFICE OF CHIEF FINANCIAL OFFICER,"OFFICE EQUIPMENT, FILING SYSTEMS, ETC., MAINTENANCE AND REPAIR 59",$5434.00,01/02/2008,Q-MATIC CORPORATION,95 UNDERWOOD ROAD  ; FLETCHER  ; NC  ; 28732,FLETCHER  ,NC
PO246228,DEPARTMENT OF HEALTH,"OFFICE SUPPLIES, GENERAL 00",$3855.20,01/02/2008,FAITH MANAGEMENT CONSULTING,"3417 MINNESOTA AVE, SE  ; WASHINGTON  ; DC  ; 20019",WASHINGTON  ,DC
PO188590-V2,OFFICE OF CHIEF FINANCIAL OFFICER,GEOGRAPHIC INFORMATION SYSTEMS (GIS) 54,$34294.03,01/02/2008,SPATIAL SYSTEMS ASSOCIATES INC,6345 WOODSIDE COURT                                SUITE 201  ; COLUMBIA  ; MD  ; 21046,COLUMBIA  ,MD
PO245965,OFFICE OF CHIEF FINANCIAL OFFICER,"COMMUNICATION EQUIPMENT (INCLUDING RADIO, TELEVISION, TELEPHONE, VCR, VIDEO/AUDIO EQUIPMENT, ETC.) 28",$3000.00,01/02/2008,"HI-TECH SOLUTION, INC.","1300 PENNSYLANIA AVE, NW                           SUITE 700  ; WASHINGTON  ; DC  ; 20004",WASHINGTON  ,DC
PO246253,OFFICE OF HUMAN RIGHTS,DISCRIMINATION INVESTIGATION 31,$9750.00,01/02/2008,THE EQUAL RIGHTS CENTER,11 DUPONT CIRCLE NW SUITE 400  ; WASHINGTON  ; DC  ; 20036,WASHINGTON  ,DC
PO246264,DEPARTMENT OF HUMAN SERVICES,"MISCELLANEOUS SERVICES, NO. 1 00",$166000.00,01/02/2008,NATL BLACK CHILD DEVELOPMENT,"1101 15TH STREET, NW                               STE 900  ; WASHINGTON  ; DC  ; 20005",WASHINGTON  ,DC
PO246102,OFFICE OF CHIEF FINANCIAL OFFICER,PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58,$301300.00,01/02/2008,"TANDEM CONGLOMERATE, LLC",717 D ST NW                                        SUITE 300  ; WASHINGTON  ; DC  ; 20004-1808,WASHINGTON  ,DC
PO246243,DEPARTMENT OF TRANSPORTATION,"MILLWORK: COUNTERS, CUSTOM-MADE CABINETS, SHELVES, STAIRS, ETC. 49",$8500.00,01/02/2008,TRINITY II CORP,3215 MARTIN LUTHER KING AVE SE  ; WASHINGTON  ; DC  ; 20032,WASHINGTON  ,DC
PO246223,DEPARTMENT OF HEALTH,"OFFICE SUPPLIES, GENERAL 00",$2898.88,01/02/2008,CAPITAL SERVICES AND SUPPLIES,2804 DOUGLAS STREET NE  ; WASHINGTON  ; DC  ; 20018,WASHINGTON  ,DC
PO239188-V2,DEPARTMENT ON DISABILITY SERVICES,HUMAN SERVICES 00,$111472.22,01/02/2008,ST. JOHN'S COMMUNITY SERVICES,"2201 WISCONSIN AVE , NW   ; WASHINGTON  ; DC  ; 20007-",WASHINGTON  ,DC
PO246148,OFFICE OF CHIEF FINANCIAL OFFICER,HAT RENOVATION/REBLOCKING SERVICES 44,$60000.00,01/02/2008,CONSYS INC,732 KENNEDY ST NW  ; WASHINGTON  ; DC  ; 20011,WASHINGTON  ,DC
PO246091,OFFICE OF CHIEF FINANCIAL OFFICER,HAT RENOVATION/REBLOCKING SERVICES 44,$30350.25,01/02/2008,CONSYS INC,732 KENNEDY ST NW  ; WASHINGTON  ; DC  ; 20011,WASHINGTON  ,DC
PO246147,OFFICE OF CHIEF FINANCIAL OFFICER,HAT RENOVATION/REBLOCKING SERVICES 44,$40899.00,01/02/2008,CONSYS INC,732 KENNEDY ST NW  ; WASHINGTON  ; DC  ; 20011,WASHINGTON  ,DC
PO245977,OFFICE OF CHIEF FINANCIAL OFFICER,SOFTWARE MAINTENANCE/SUPPORT 45,$5652.00,01/02/2008,GENSYM CORPORATION,52 SECOND AVENUE  ; BURLINGTON  ; MA  ; 01803,BURLINGTON  ,MA
PO246303,UNIVERSITY OF THE DISTRICT OF COLUMBIA,NOVELTIES AND ADVERTISING SPECIALTY PRODUCTS 52,$2880.00,01/03/2008,CRESTLINE SPECIALTIES INC,70 MT. HOPE AVE.                                   PO BOX 2027  ; LEWISTON  ; ME  ; 04241-2027,LEWISTON  ,ME
PO243357-V2,DEPARTMENT OF TRANSPORTATION,CONSULTING SERVICES 00,$10340.00,01/03/2008,GALLAUDET UNIVERSITY,"800 FLORIDA AVENUE, N.E.  ; WASHINGTON  ; DC  ; 20002",WASHINGTON  ,DC
PO246296,DEPARTMENT OF HUMAN SERVICES,HUMAN SERVICES 00,$6957108.00,01/03/2008,UNITED PLANNING ORGANIZATION,"301 RHODE ISLAND AVENUE, NW   ; WASHINGTON  ; DC  ; 20001-",WASHINGTON  ,DC
PO246372,DEPARTMENT OF TRANSPORTATION,EVENT PLANNING SERVICES 34,$209570.55,01/03/2008,HNTB CORPORATION,715 KIRK DRIVE  ; KANSAS CITY  ; KS  ; 64105,KANSAS CITY  ,KS
PO246368,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,IN-SERVICE TRAINING (FOR EMPLOYEES) 35,$4200.00,01/03/2008,HIGH/SCOPE EDUCATIONAL RESEARC,600 NORTH RIVER STREET  ; YPSILANTL  ; MI  ; 48198-2898,YPSILANTL  ,MI
PO246386,DEPARTMENT OF TRANSPORTATION,"PLUMBING MAINTENANCE AND REPAIR (INCLUDES TOILETS, ETC.) 60",$10000.00,01/03/2008,WRIGHT BROTHER PLUMBING,"2904 12TH STREET, NE  ; WASHINGTON  ; DC  ; 20017",WASHINGTON  ,DC
PO228412-V2,OFFICE OF MUNICIPAL PLANNING,PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58,$119699.56,01/03/2008,PARSONS BRINCKERHOFF,"1401 K. STREET, NW.                                SUITE 701  ; WASHINGTON  ; DC  ; 20005",WASHINGTON  ,DC
PO246299,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,EDUCATION AND TRAINING CONSULTING 38,$7684.00,01/03/2008,"EDUCATIONAL DIMENSIONS, INC.",9500 ARENA DRIVE  ; LARGO  ; MD  ; 20774,LARGO  ,MD
PO246307,"DEPART OF INSURANCE,SECURITIES & BANKING","PRINTERS AND PLOTTERS, COMPUTER (ALL TYPES), RENTAL OR LEASE 60",$2517.72,01/03/2008,XEROX CORPORATION,26600 SW PARKWAY AVENUE                            M/S 60-372  ; WILSONVILLE  ; OR  ; 97070,WILSONVILLE  ,OR
PO246342,DEPARTMENT ON DISABILITY SERVICES,HUMAN SERVICES 00,$68400.00,01/03/2008,DEVEREUX FOUNDATION,2012 RENAISSANCE BLVD   ; KING OF PRUSSIA  ; PA  ; 19406-,KING OF PRUSSIA  ,PA
