PO_NUMBER,AGENCY_NAME,NIGP_DESCRIPTION,PO_TOTAL_AMOUNT,ORDER_DATE,SUPPLIER,SUPPLIER_FULL_ADDRESS,SUPPLIER_CITY,SUPPLIER_STATE
PO285435,DEPARTMENT OF TRANSPORTATION,"UNIFORMS, BLENDED FABRIC 85",$5233.00,01/02/2009,MORGANS INC,900 RHODE ISLAND AVENUE NE  ; WASHINGTON  ; DC  ; 20018,WASHINGTON  ,DC
PO285453,FIRE AND EMERGENCY MEDICAL SERVICES,"EMERGENCY MEDICAL SERVICES (EMS) EQUIPMENT AND SUPPLIES (INCLUDING RESPONSE KITS, LIFE SUPPORT KITS, TRAUMA KITS, ETC.) 37",$96000.00,01/02/2009,"BOCALJE SERVICES, INC.",3215 M. L. K. JR.AVE S.E.   ; WASHINGTON  ; DC  ; 20032-,WASHINGTON  ,DC
PO285437,METROPOLITAN POLICE DEPARTMENT,POLICE PROTECTION EQUIPMENT (BODY ARMOR AND RIOT SHIELDS) AND SUPPLIES 08,$5250.00,01/02/2009,GALLS INC,2680 PALUMBO DRIVE                                 P.O. BOX 55208  ; LEXINGTON  ; KY  ; 40509-0509,LEXINGTON  ,KY
PO285431,METROPOLITAN POLICE DEPARTMENT,"SOUP, SOUP BASE, AND ENTREE MIXES, CANNED AND DEHYDRATED 78",$2600.00,01/02/2009,HOOD'S INSTITUTIONAL FOODS INC,3155 V STREET NE   ; WASHINGTON  ; DC  ; 20018-,WASHINGTON  ,DC
PO285467,DEPARTMENT OF EMPLOYMENT SERVICES,"TRAINING AND INSTRUCTION (FOR CLIENTS, NOT STAFF) 90",$3503.50,01/02/2009,SPECTRUM BEAUTY ACADEMY,25 SOUTH QUAKER LANE SUITE 15  ; ALEXANDRIA  ; VA  ; 22314-2314,ALEXANDRIA  ,VA
PO285430,HOMELAND SECURITY/EMERGENCY MANAGEMENT,"COMMUNICATION PROCESSORS AND PROTOCOL CONVERTORS: FRONT-END PROCESSOR, NETWORK INTERFACE MODULE, PROTOCOL INTERCHANGE, SWITCHING CONTROLS, ETC. 23",$12810.00,01/02/2009,"SUPRETECH, INC.","7600 GEORGIA AVENUE, NW #LL  ; WASHINGTON  ; DC  ; 20012-",WASHINGTON  ,DC
PO285439,OFFICE OF THE CHIEF TECHNOLOGY OFFICER,COMPUTER ACCESSORIES AND SUPPLIES 00,$146900.00,01/02/2009,DOCUMENT SYSTEMS INC,"333 HAWAII AVENUE, NE                              SUITE 200  ; WASHINGTON  ; DC  ; 20011",WASHINGTON  ,DC
PO285440,DEPARTMENT OF TRANSPORTATION,"CONSTRUCTION, BRIDGE AND DRAWBRIDGE (INCLUDES RECONSTRUCTION/REHABILITATION) 13",$25162.00,01/02/2009,DOCUMENT SYSTEMS INC,"333 HAWAII AVENUE, NE                              SUITE 200  ; WASHINGTON  ; DC  ; 20011",WASHINGTON  ,DC
PO285434,DEPARTMENT OF TRANSPORTATION,BICYCLE RACKS 10,$3475.00,01/02/2009,DERO BIKE RACK CO,2657 32ND AVE. S.  ; MINNEAPOLIS  ; MN  ; 55406,MINNEAPOLIS  ,MN
PO285455,OFFICE OF THE CHIEF TECHNOLOGY OFFICER,"CABLE CONSTRUCTION, INSTALLATION AND MAINTENANCE (FIBER OPTIC, COMMUNICATION, COMPUTER, ETC.) 18",$25140.44,01/02/2009,GRAYBAR ELECTRIC CO INC,4800 FORBES BLVD  ; LANHAM  ; MD  ; 20706,LANHAM  ,MD
PO285463,DEPARTMENT OF EMPLOYMENT SERVICES,"TRAINING AND INSTRUCTION (FOR CLIENTS, NOT STAFF) 90",$6452.00,01/02/2009,OPPORTUNITIES INDUSTRIAL,3707 MLK AVENUE SE   ; WASHINGTON  ; DC  ; 20032-,WASHINGTON  ,DC
