PO_NUMBER,AGENCY_NAME,NIGP_DESCRIPTION,PO_TOTAL_AMOUNT,ORDER_DATE,SUPPLIER,SUPPLIER_FULL_ADDRESS,SUPPLIER_CITY,SUPPLIER_STATE
PO319479,STATE SUPERINTENDENT OF EDUCATION (OSSE),"TEACHING AND INSTRUCTION SERVICES  (INCLUDING ELEMENTARY AND SECONDARY EDUCATION, HIGHER EDUCATION AND ADULT EDUCATION) 78",$6700.00,01/04/2010,KET ENTERPRISE DIVISION,560 COOPER DRIVE  ; LEXINGTON  ; KY  ; 40502-2200,LEXINGTON  ,KY
PO319528,DEPARTMENT OF MOTOR VEHICLES,SOFTWARE MAINTENANCE/SUPPORT 45,$26023.68,01/04/2010,COURT SMART DIGITAL SYSTEMS IN,51 MIDDLESEX STREET  ; N. CHELMSFORD  ; MA  ; 01863,N. CHELMSFORD  ,MA
PO319520,"DEPART OF INSURANCE,SECURITIES & BANKING","APPLICATIONS SOFTWARE FOR MICROCOMPUTER SYSTEMS: BUSINESS, MATHEMATICAL/STATISTICAL, MEDICAL, SCIENTIFIC, ETC. 07",$68032.00,01/04/2010,"AC0 INFORMATION SERVICES, LLC",1509 GOVERNMENT STREET 4TH FL  ; MOBILE  ; AL  ; 36604,MOBILE  ,AL
PO319514,D.C. DEPARTMENT OF HUMAN RESOURCES,PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58,$5000.00,01/04/2010,TALENT TECHNOLOGY CORPORATION,SUITE 300                                          10991 SHELLBRIDGE WAY  ; RICHMOND BC  ;    ; V6X3C-6,RICHMOND BC  ,
PO319516,OFFICE OF CHIEF TECHNOLOGY OFFICER,COMPUTER SOFTWARE CONSULTING 29,$31830.00,01/04/2010,VERISIGN INCORPORATED,487 EAST MIDDLEFIELD  ; MOUNTAIN VIEW  ; CA  ; 94043,MOUNTAIN VIEW  ,CA
PO319483,LOTTERY & CHARITABLE GAMES CONTROL BOARD,"ALARM EQUIPMENT MAINTENANCE/REPAIR (FIRE, ETC.) 09",$7000.00,01/04/2010,SIMPLEX GRINNELL LP,9585 SNOWDEN RIVER PKWY   ; COLUMBIA  ; MD  ; 21046-,COLUMBIA  ,MD
PO293181-V4,DC PUBLIC LIBRARY,PROJECT MANAGEMENT SERVICES 77,$709994.92,01/04/2010,A-1 CONSTRUCTION,1000 VERMONT AVE NW STE 800   ; WASHINGTON  ; DC  ; 20005-,WASHINGTON  ,DC
PO319553,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,CLASSROOM EQUIPMENT AND SUPPLIES (NOT OTHERWISE CLASSIFIED) 32,$3441.49,01/04/2010,LAKESHORE LEARNING MATERIALS,2695 EAST DOMINGUEZ STREET  ; CARSON  ; CA  ; 90895,CARSON  ,CA
PO319485,DC PUBLIC LIBRARY,MEMBERSHIP DUES 48,$3000.00,01/04/2010,CHIEF OFFICER OF STATE LIBRARY,167 W MAIN STREET STE 600  ; LEXINGTON  ; KY  ; 40507,LEXINGTON  ,KY
PO319523,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,FINANCE/ECONOMICS CONSULTING 49,$23475.00,01/04/2010,LORISE Y. WHITE WOLFE,601 JUNEBERRY COURT  ; BOWIE  ; MD  ; 20721,BOWIE  ,MD
PO319518,FIRE AND EMERGENCY MEDICAL SERVICES,MEDICAL AND DENTAL EQUIPMENT AND SUPPLIES 67,$45977.70,01/04/2010,DISTRICT SUPPLY,7705 GEORGIA AVE NW SUITE 103   ; WASHINGTON  ; DC  ; 20012-,WASHINGTON  ,DC
PO319532,OFF PUBLIC ED FACILITIES MODERNIZATION,CONSTRUCTION MANAGEMENT SERVICES 26,$10500.00,01/04/2010,AES ELECTRICAL INC,DBA/FREESTATE ELECTRICAL CONST 13335 MID ATLANTIC BLVD  ; LAUREL  ; MD  ; 20708-,LAUREL  ,MD
PO257407-V2,EQUIPMENT LEASE - CAPITAL,COMPUTER SOFTWARE CONSULTING 29,$32903.50,01/04/2010,MODIS INCORPORATED,ONE INDEPENDENT DRIVE  ; JACKSONVILLE  ; FL  ; 32202,JACKSONVILLE  ,FL
