PO_NUMBER,AGENCY_NAME,NIGP_DESCRIPTION,PO_TOTAL_AMOUNT,ORDER_DATE,SUPPLIER,SUPPLIER_FULL_ADDRESS,SUPPLIER_CITY,SUPPLIER_STATE
PO352134,DISTRICT DEPARTMENT OF THE ENVIRONMENT,PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58,$11280.00,01/03/2011,ROBERT MORRIS,413 5TH STREET NE  ; WASHINGTON  ; DC  ; 20002,WASHINGTON  ,DC
PO352082,STATE SUPERINTENDENT OF EDUCATION (OSSE),"ROOM RENTAL FOR CONFERENCES, SEMINARS, ETC. 65",$3173.00,01/03/2011,FLIK INTERNATIONAL,800 FLORIDA AVENUE NE   ; WASHINGTON  ; DC  ; 20002-,WASHINGTON  ,DC
PO352138,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"MICROCOMPUTERS, DESKTOP OR TOWERBASED 53",$4281.78,01/03/2011,DELL COMPUTER CORP.,ONE DELL WAY   ; ROUND ROCK  ; TX  ; 78682-,ROUND ROCK  ,TX
PO352060,OFFICE OF CHIEF TECHNOLOGY OFFICER,"MICROCOMPUTERS, DESKTOP OR TOWERBASED 53",$36477.00,01/03/2011,DELL COMPUTER CORP.,ONE DELL WAY   ; ROUND ROCK  ; TX  ; 78682-,ROUND ROCK  ,TX
PO352068,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"COMPUTERS, PARTS AND SUPPLIES 29",$10832.00,01/03/2011,DELL COMPUTER CORP.,ONE DELL WAY   ; ROUND ROCK  ; TX  ; 78682-,ROUND ROCK  ,TX
PO352115,DC PUBLIC LIBRARY,"MICROCOMPUTERS, DESKTOP OR TOWERBASED 53",$139800.00,01/03/2011,DELL COMPUTER CORP.,ONE DELL WAY   ; ROUND ROCK  ; TX  ; 78682-,ROUND ROCK  ,TX
PO346241-V2,DEPARTMENT OF MENTAL HEALTH,SOFTWARE MAINTENANCE/SUPPORT 45,$10000.00,01/03/2011,"PLAN B TECHNOLOGIES, INC.",16071 MELFORD BOULEVARD SUITE 300  ; BOWIE  ; MD  ; 20715,BOWIE  ,MD
PO352058,D.C. DEPARTMENT OF HUMAN RESOURCES,"ADMINISTRATION OF CONTRACTS: SUMMARY OF WORK, QUALITY CONTROL, PROJECT CLOSEOUT, ETC. 03",$95000.00,01/03/2011,"PAYFLEX SYSTEMS USA, INC.","10802 FARNAM DRIVE, SUITE 100  ; OMAHA  ; NE  ; 68154",OMAHA  ,NE
PO352112,DEPARTMENT OF PUBLIC WORKS,COMPUTER MANAGEMENT SERVICES 23,$4500.00,01/03/2011,ALLDATA CORPORATION,9412 BIG HORN BLVD  ; ELK GROVE  ; CA  ; 95758,ELK GROVE  ,CA
PO352135,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,EDUCATION AND TRAINING CONSULTING 38,$8069.90,01/03/2011,BRAINCHILD CORPORATION,"3050 HORSESHOE DRIVE NORTH,  SUITE 290  ; NAPLES  ; FL  ; 34104-",NAPLES  ,FL
PO352071,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"ARBITRATION, MEDIATION, AND ALTERNATIVE DISPUTE RESOLUTION SERVICES 05",$7200.00,01/03/2011,"JEROME H. ROSS, LTD.",6621 WEATHERFORD COURT   ; MCCLEAN  ; VA  ; 22101-,MCCLEAN  ,VA
PO352155,STATE SUPERINTENDENT OF EDUCATION (OSSE),EDUCATIONAL RESEARCH SERVICES 19,$8000.00,01/03/2011,BANNER STAFFING LLC,1025 CONNECTICUT AVENUE NW                         SUITE 211  ; WASHINGTON  ; DC  ; 20036,WASHINGTON  ,DC
PO352121,OFFICE OF CHIEF TECHNOLOGY OFFICER,COMPUTER SOFTWARE CONSULTING 29,$116000.00,01/03/2011,"OST, INC.",1155 15TH STREET NW                                SUITE 600  ; WASHINGTON  ; DC  ; 20005,WASHINGTON  ,DC
PO331371-V2,EQUIPMENT LEASE - CAPITAL,COMPUTER SOFTWARE CONSULTING 29,$28158.48,01/03/2011,"OST, INC.",1155 15TH STREET NW                                SUITE 600  ; WASHINGTON  ; DC  ; 20005,WASHINGTON  ,DC
PO352122,OFFICE OF CHIEF TECHNOLOGY OFFICER,COMPUTER SOFTWARE CONSULTING 29,$70467.00,01/03/2011,"OST, INC.",1155 15TH STREET NW                                SUITE 600  ; WASHINGTON  ; DC  ; 20005,WASHINGTON  ,DC
PO342646-V2,OFFICE OF CHIEF TECHNOLOGY OFFICER,TELECOMMUNICATIONS CONSULTING 95,$27565.00,01/03/2011,"OST, INC.",1155 15TH STREET NW                                SUITE 600  ; WASHINGTON  ; DC  ; 20005,WASHINGTON  ,DC
PO342525-V3,OFFICE OF CHIEF TECHNOLOGY OFFICER,COMPUTER SOFTWARE CONSULTING 29,$50385.00,01/03/2011,"OST, INC.",1155 15TH STREET NW                                SUITE 600  ; WASHINGTON  ; DC  ; 20005,WASHINGTON  ,DC
PO352067,EQUIPMENT LEASE - CAPITAL,COMPUTER NETWORK CONSULTING 30,$48020.00,01/03/2011,"OST, INC.",1155 15TH STREET NW                                SUITE 600  ; WASHINGTON  ; DC  ; 20005,WASHINGTON  ,DC
PO351528-V2,COUNCIL OF THE DISTRICT OF COLUMBIA,COMPUTER HARDWARE CONSULTING 28,$28295.00,01/03/2011,PROJECTION VIDEO SERV. INC.,5803 ROLLING ROAD SUITE 207  ; SPRINGFIELD  ; VA  ; 22152,SPRINGFIELD  ,VA
PO348380-V3,DEPARTMENT OF PARKS AND RECREATION,"ROOFING, GUTTERS, AND DOWNSPOUTS MAINTENANCE AND REPAIR 66",$99115.60,01/03/2011,PROVIDENCE CONSTRUCTION AND,"CONTRACTING SERVICES 7826 EASTERN AVE, NW, #307   ; WASHINGTON  ; DC  ; 20012",WASHINGTON  ,DC
PO352136,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,EDUCATION AND TRAINING CONSULTING 38,$23000.00,01/03/2011,GEORGE WASHINGTON UNIVERSITY -,801 22ND STREET NW ROSS HALL #100  ; WASHINGTON  ; DC  ; 20052-,WASHINGTON  ,DC
PO352133,OFFICE OF POLICE COMPLAINTS,"ARBITRATION, MEDIATION, AND ALTERNATIVE DISPUTE RESOLUTION SERVICES 05",$4800.00,01/03/2011,CENTER FOR DISPUTE SETTLEMENT,1666 CONNECTICUT AVENUE NW                         SUITE 500  ; WASHINGTON  ; DC  ; 20009-1039,WASHINGTON  ,DC
PO295151-V3,DC PUBLIC LIBRARY,"CONSTRUCTION SERVICES, GENERAL 00",$853254.42,01/03/2011,BENNETT GROUP INC,"1230 31ST STREET, NW   ; WASHINGTON  ; DC  ; 20007-",WASHINGTON  ,DC
PO349332-V3,COUNCIL OF THE DISTRICT OF COLUMBIA,"INTERIOR DESIGN, SPACE PLANNING, AND EXHIBITS/DISPLAYS 52",$23437.00,01/03/2011,HARGROVE INC,NUMBER ONE HARGROVE DRIVE  ; LANHAM  ; MD  ; 20706,LANHAM  ,MD
PO349174-V2,DISTRICT OF COLUMBIA RETIREMENT BOARD,PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58,$119500.00,01/03/2011,"AON RISK SERVICES, INC OF WASH","1120 20TH ST., NW                                  SUITE 600  ; WASHINGTON  ; DC  ; 20036",WASHINGTON  ,DC
PO352079,CHILD AND FAMILY SERVICES,LEGAL CONSULTING 74,$5100.00,01/03/2011,BARBARA C. MCINISS,1516 VARNUM STREET NW  ; WASHINGTON  ; DC  ; 20011,WASHINGTON  ,DC
